Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP0138569,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban
LP0114279,Female,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural
LP0127727,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban
LP0122697,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban
LP0118029,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban
LP0127125,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban
LP0119052,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban
LP0100176,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban
LP0124266,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban
LP0100815,Male,No,0,Graduate,No,3167,0,74,360,1,Urban
LP0130788,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural
LP0113335,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban
LP0114144,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural
LP0120871,Male,Yes,0,Graduate,No,2275,2067,,360,1,Urban
LP0138665,Male,Yes,0,Graduate,No,1828,1330,100,,0,Urban
LP0136382,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban
LP0119553,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban
LP0101715,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban
LP0123197,Male,No,0,Graduate,No,3600,0,80,360,1,Urban
LP0120120,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban
LP0108837,Male,Yes,0,Graduate,No,2400,0,75,360,,Urban
LP099330,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban
LP0124313,Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban
LP0112178,Female,No,0,Graduate,No,3410,0,88,,1,Urban
LP0112906,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban
LP0118947,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban
LP0139216,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban
LP0139612,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban
LP096842,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban
LP0139972,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban
LP0109506,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban
LP0139683,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban
LP0106019,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban
LP0115294,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban
LP0100313,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban
LP0103076,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural
LP0136601,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban
LP0106224,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban
LP0127754,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban
LP0131957,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban
LP0124640,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural
LP0119475,Male,Yes,1,Graduate,No,4945,0,,360,0,Rural
LP0139092,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban
LP0100227,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban
LP098173,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban
LP0129313,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban
LP0122370,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban
LP0117301,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban
LP0107364,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban
LP0123271,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban
LP097858,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban
LP0125768,Male,Yes,3+,Not Graduate,No,4755,0,95,,0,Semiurban
LP0102449,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban
LP0131705,Male,No,0,Graduate,No,3750,0,113,480,1,Urban
LP0111646,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban
LP0116967,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban
LP0115880,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban
LP0118693,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,,Semiurban
LP0106697,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban
LP0125440,Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban
LP0124586,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban
LP0132865,Male,Yes,0,Graduate,No,6000,2250,265,360,,Semiurban
LP0108444,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban
LP0117181,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban
LP0115740,Male,Yes,2,Not Graduate,No,3333,2000,99,360,,Semiurban
LP0128071,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban
LP099306,Male,No,0,Graduate,No,8566,0,210,360,1,Urban
LP0103321,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban
LP0133767,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban
LP097183,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban
LP0106091,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban
LP0123725,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban
LP0135140,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban
LP0122059,Male,No,0,Graduate,,6782,0,,360,,Urban
LP0137416,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban
LP0130480,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban
LP0122052,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban
LP0119790,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban
LP0118927,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban
LP0102929,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban
LP099077,Male,Yes,,Graduate,No,13650,0,,360,1,Urban
LP0129865,Male,Yes,0,Graduate,No,4652,3583,,360,1,Semiurban
LP0134831,Male,,,Graduate,No,3816,754,160,360,1,Urban
LP0139542,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban
LP0109716,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban
LP0122790,Male,No,0,Not Graduate,,7333,0,120,360,1,Rural
LP0112778,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban
LP0133792,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban
LP0122747,Male,No,0,Graduate,No,5316,0,136,360,1,Urban
LP0120262,Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban
LP0116239,Male,Yes,0,Not Graduate,No,3572,4114,152,,0,Rural
LP0138038,Female,No,1,Graduate,Yes,7451,0,,360,1,Semiurban
LP0134722,Male,No,0,Graduate,,5050,0,118,360,1,Semiurban
LP0122274,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural
LP098766,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban
LP0114978,Male,Yes,1,Graduate,No,2214,1398,85,360,,Urban
LP0104629,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural
LP0101264,Female,No,0,Graduate,No,10408,0,259,360,1,Urban
LP0133117,Male,Yes,,Graduate,No,5667,2667,180,360,1,Rural
LP0105750,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban
LP096403,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban
LP0129530,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban
LP0107042,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural
LP098137,Female,No,0,Graduate,No,3692,0,93,360,,Rural
LP0102854,,Yes,3+,Graduate,No,23803,0,370,360,1,Rural
LP0111332,Male,No,0,Graduate,No,3865,1640,,360,1,Rural
LP0102679,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban
LP0106897,Male,Yes,0,Graduate,No,6080,2569,182,360,,Rural
LP0112873,Male,No,0,Graduate,Yes,20166,0,650,480,,Urban
LP0136726,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban
LP0133700,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban
LP0103351,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban
LP0134768,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban
LP0136629,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,Semiurban
LP0135491,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural
LP0126348,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban
LP0127507,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban
LP0115672,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural
LP0130254,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural
LP0100489,Male,No,0,Graduate,No,5417,0,168,360,1,Urban
LP0101292,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban
LP0124216,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban
LP0121059,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban
LP0128728,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban
LP0129864,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban
LP0112272,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban
LP0115498,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural
LP0103779,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban
LP0106562,Male,No,0,Graduate,No,6277,0,118,360,0,Rural
LP0112027,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural
LP096058,Male,No,0,Graduate,No,9166,0,244,360,1,Urban
LP0120491,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural
LP0126677,Male,No,0,Graduate,No,3254,0,50,360,1,Urban
LP0111547,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban
LP0135217,Male,Yes,1,Graduate,No,6000,0,160,360,,Rural
LP0102520,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban
LP0133344,Male,No,0,Graduate,,2980,2083,120,360,1,Rural
LP0110088,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban
LP0125801,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban
LP0133277,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban
LP0125300,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban
LP0115491,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural
LP0114946,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban
LP0123955,Male,Yes,0,Graduate,No,3707,3166,182,,1,Rural
LP0104728,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural
LP097033,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural
LP0133174,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban
LP0133624,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban
LP0138721,Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural
LP0117039,,Yes,3+,Graduate,No,51763,0,700,300,1,Urban
LP0113106,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural
LP0136144,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban
LP099417,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban
LP0133309,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural
LP099679,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural
LP0128409,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban
LP0138575,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban
LP0130397,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban
LP0104718,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban
LP0122580,Male,No,0,Graduate,No,1916,5063,67,360,,Rural
LP098824,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban
LP0110643,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban
LP0118912,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban
LP0123423,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban
LP0108007,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural
LP0112618,Male,Yes,0,Graduate,No,2383,2138,58,360,,Rural
LP0117678,,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural
LP0105147,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural
LP0132283,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural
LP0133860,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban
LP0116847,Male,Yes,0,Graduate,Yes,10221,3140,569,360,1,Urban
LP0126807,Female,No,0,Not Graduate,Yes,4947,4750,565,360,1,Urban
LP099651,Male,Yes,2,Not Graduate,Yes,15359,3106,165,360,1,Urban
LP0139950,Female,No,0,Graduate,Yes,3697,3200,411,360,1,Semiurban
LP0129857,Male,Yes,0,Graduate,No,13462,3341,492,360,1,Rural
LP0102170,Male,Yes,3+,Graduate,Yes,14010,3580,215,120,1,Semiurban
LP0121207,Male,No,0,Not Graduate,No,12880,1761,210,360,1,Urban
LP0136388,Male,Yes,2,Graduate,Yes,7370,2361,171,360,1,Semiurban
LP0137364,Female,Yes,1,Graduate,Yes,13965,4872,73,360,1,Semiurban
LP0122959,Male,No,2,Graduate,Yes,7442,0,162,360,1,Rural
LP0127273,Female,No,1,Not Graduate,No,8460,1774,301,360,1,Semiurban
LP0104570,Male,No,2,Not Graduate,No,14128,3659,94,180,1,Semiurban
LP0114925,Male,Yes,2,Not Graduate,No,15939,3478,481,120,1,Semiurban
LP0131218,Male,Yes,0,Not Graduate,No,1575,1720,172,360,1,Semiurban
LP0112860,Male,No,0,Not Graduate,No,9499,3685,507,360,1,Rural
LP0132405,Female,No,2,Graduate,Yes,9528,4557,333,360,1,Rural
LP098910,Female,Yes,0,Not Graduate,No,14156,4472,95,360,1,Urban
LP0119468,Female,Yes,1,Graduate,No,14984,0,137,360,1,Urban
LP0133820,Male,Yes,3+,Graduate,No,13680,4036,523,360,1,Semiurban
LP0100027,Female,Yes,2,Not Graduate,No,8315,2700,512,360,1,Semiurban
LP0101775,Male,No,2,Not Graduate,No,12099,3260,345,360,0,Urban
LP0125510,Female,No,0,Graduate,Yes,7029,0,120,360,1,Urban
LP0119550,Female,No,3+,Not Graduate,Yes,12242,0,63,360,1,Rural
LP0102969,Male,Yes,2,Not Graduate,No,2871,2104,355,360,1,Urban
LP0105198,Male,No,1,Graduate,No,7549,3027,73,360,0,Urban
LP0119911,Male,Yes,0,Graduate,Yes,15586,3237,443,240,0,Rural
LP0117284,Female,No,0,Graduate,Yes,6679,0,405,120,1,Urban
LP0119584,Male,No,0,Not Graduate,Yes,8577,4695,60,360,1,Urban
LP0101465,Female,Yes,2,Not Graduate,No,5798,3555,440,360,1,Rural
LP0131772,Male,No,0,Not Graduate,Yes,8974,3984,243,240,1,Semiurban
LP0132998,Male,Yes,2,Not Graduate,Yes,14808,4215,74,360,1,Semiurban
LP0115980,Female,Yes,0,Graduate,Yes,9590,4524,348,360,1,Rural
LP0132079,Male,No,1,Graduate,No,6758,0,215,360,1,Rural
LP0104813,Male,Yes,0,Not Graduate,Yes,12880,3546,388,120,1,Semiurban
LP0121139,Female,Yes,0,Graduate,No,5433,0,471,360,1,Rural
LP0111482,Female,Yes,0,Not Graduate,No,3758,0,326,240,1,Rural
LP0131067,Male,Yes,0,Graduate,No,6275,1697,308,360,1,Urban
LP0123230,Male,Yes,0,Not Graduate,Yes,5084,0,190,360,1,Semiurban
LP0124497,Male,No,0,Graduate,No,7366,2082,367,360,1,Urban
LP0139207,Male,No,2,Graduate,No,6675,4471,483,360,1,Urban
LP097476,Female,Yes,0,Graduate,No,11913,3346,264,360,1,Urban
LP0110582,Male,No,1,Graduate,Yes,2026,1529,501,360,1,Semiurban
LP0137173,Female,No,1,Not Graduate,Yes,5361,2264,535,360,1,Rural
LP0116081,Female,Yes,0,Not Graduate,No,9803,0,153,360,1,Urban
LP0119165,Male,No,0,Not Graduate,No,3429,2611,201,360,1,Urban
LP0130625,Male,Yes,0,Not Graduate,No,5912,1652,380,360,1,Rural
LP0125159,Male,Yes,3+,Graduate,No,9438,0,218,360,1,Urban
LP0123412,Male,Yes,0,Not Graduate,No,15674,1877,448,360,1,Urban
LP0111045,Female,No,0,Not Graduate,No,10930,4771,267,360,1,Urban
LP0137412,Female,Yes,0,Not Graduate,No,10522,1693,460,480,1,Rural
LP0120333,Female,Yes,0,Not Graduate,No,8942,0,126,360,1,Rural
LP0111024,Male,No,0,Graduate,Yes,4133,3276,292,360,1,Semiurban
LP0135849,Male,Yes,2,Graduate,Yes,11932,0,489,120,1,Rural
LP0109178,Female,No,1,Not Graduate,Yes,1362,2094,337,240,1,Rural
LP0132358,Male,No,0,Graduate,No,6563,2905,393,360,1,Urban
LP0120885,Male,Yes,0,Not Graduate,No,13021,1716,498,360,1,Rural
LP0101547,Female,Yes,0,Not Graduate,Yes,12987,3485,485,360,1,Rural
LP0137345,Male,Yes,2,Graduate,No,1822,2885,89,360,1,Urban
LP0133505,Female,No,1,Not Graduate,Yes,4518,0,148,360,1,Semiurban
LP0110289,Female,No,1,Graduate,Yes,8395,0,111,120,1,Rural
LP0111279,Male,No,0,Graduate,Yes,11397,0,151,360,0,Rural
LP0113677,Male,No,1,Graduate,Yes,8070,2633,304,360,1,Rural
LP0115019,Male,No,0,Graduate,No,13602,4774,341,240,1,Urban
LP0106921,Male,Yes,2,Not Graduate,Yes,3499,1595,322,360,1,Urban
LP0131190,Female,No,0,Graduate,No,15952,1317,278,180,1,Semiurban
LP0108328,Male,Yes,0,Not Graduate,Yes,12962,2009,330,360,1,Semiurban
LP0117892,Female,No,0,Graduate,No,9806,2900,546,360,1,Semiurban
LP0126797,Male,No,3+,Not Graduate,Yes,3441,3466,376,360,1,Urban
LP0122303,Female,No,0,Graduate,No,15506,1971,272,360,1,Rural
LP0120915,Female,No,0,Not Graduate,No,3105,3499,277,360,1,Urban
LP0111489,Female,No,3+,Graduate,Yes,7558,3864,291,240,1,Rural
LP0100563,Male,Yes,2,Not Graduate,No,2106,2255,148,240,1,Urban
LP0105869,Female,Yes,3+,Not Graduate,Yes,12039,3961,503,360,1,Rural
LP0102733,Male,No,2,Not Graduate,No,14115,3101,120,360,1,Rural
LP0134763,Female,No,2,Graduate,Yes,4880,0,162,360,1,Urban
LP0104774,Male,Yes,0,Graduate,Yes,6127,3656,600,360,0,Urban
LP0139279,Female,No,1,Not Graduate,No,4682,3692,87,360,1,Rural
LP0117679,Female,No,1,Not Graduate,No,5814,4065,338,360,1,Rural
LP0115795,Female,No,0,Not Graduate,No,15143,3988,320,360,1,Semiurban
LP096636,Male,No,0,Graduate,Yes,5552,1665,445,360,1,Semiurban
LP0100367,Female,No,2,Graduate,No,15636,1944,271,360,1,Semiurban
LP0133592,Female,No,3+,Graduate,No,12981,2753,200,360,1,Semiurban
LP0110475,Female,No,0,Graduate,No,15069,2362,86,120,1,Urban
LP0138801,Male,No,0,Not Graduate,Yes,1544,3761,373,360,1,Rural
LP0100011,Male,No,0,Not Graduate,Yes,10005,0,387,360,1,Urban
LP0112242,Female,No,2,Not Graduate,Yes,12908,3741,492,360,1,Semiurban
LP0105172,Male,No,0,Graduate,No,9800,0,560,240,1,Rural
LP0133032,Male,Yes,1,Graduate,No,1528,4919,155,360,1,Urban
LP0100070,Female,Yes,3+,Not Graduate,Yes,3437,2154,359,360,1,Urban
LP0105423,Male,Yes,0,Graduate,No,9100,0,330,120,1,Rural
LP0119400,Female,Yes,0,Graduate,Yes,15658,2755,528,360,1,Semiurban
LP0134947,Female,Yes,1,Not Graduate,No,2738,4163,486,360,1,Semiurban
LP0123845,Male,Yes,1,Not Graduate,Yes,7026,1357,534,360,0,Rural
LP0106366,Female,Yes,0,Graduate,Yes,7567,3982,98,360,1,Urban
LP0110756,Female,Yes,2,Graduate,Yes,9905,3421,330,360,1,Semiurban
LP0132099,Female,No,0,Graduate,Yes,13002,1744,379,360,1,Rural
LP0124407,Female,No,0,Not Graduate,Yes,2075,0,210,240,1,Rural
LP0134069,Female,Yes,0,Graduate,No,13386,0,364,360,1,Semiurban
LP099232,Female,No,2,Graduate,Yes,6002,3635,467,360,1,Rural
LP097670,Male,No,0,Not Graduate,Yes,1636,4212,240,360,1,Rural
LP0121792,Female,Yes,0,Not Graduate,Yes,5862,4089,170,360,0,Semiurban
LP0123679,Male,No,1,Not Graduate,No,13283,2377,239,360,1,Semiurban
LP0132276,Female,No,2,Graduate,Yes,1525,4399,255,360,1,Rural
LP0136610,Male,No,3+,Not Graduate,No,1857,2602,448,360,1,Rural
LP0128766,Female,Yes,0,Not Graduate,No,5095,4379,256,480,1,Urban
LP0117968,Female,Yes,2,Not Graduate,No,2910,3444,276,360,1,Semiurban
LP0137142,Female,Yes,0,Graduate,No,6986,0,442,240,1,Semiurban
